╔════════════════════╦════════════════════╗
║ PRIORITY           ║ STATISTICS         ║
╚════════════════════╩════════════════════╝
 Processing Time  609      cycles
       CPU usage  606      cycles
      Throughput  0.01642  processes/cycle
      Turnaround  207.4    cycles
    Waiting time  146.8    cycles
     Answer time  146.8    cycles
   Context swaps  0.01478  swaps/cycle
      #Processes  10       processes

