╔════════════════════╦════════════════════╗
║ FCFS               ║ STATISTICS         ║
╚════════════════════╩════════════════════╝
 Processing Time  609      cycles
       CPU usage  606      cycles
      Throughput  0.01642  processes/cycle
      Turnaround  204.9    cycles
    Waiting time  144.3    cycles
     Answer time  144.3    cycles
   Context swaps  0.01478  swaps/cycle
      #Processes  10       processes

