╔════════════════════╦════════════════════╗
║ RR                 ║ STATISTICS         ║
╚════════════════════╩════════════════════╝
 Processing Time  1158     cycles
       CPU usage  1148     cycles
      Throughput  0.008636  processes/cycle
      Turnaround  760.1    cycles
    Waiting time  645.3    cycles
     Answer time  93.20    cycles
   Context swaps  0.05354  swaps/cycle
      #Processes  10       processes

