# <Processing>, <CPU>, <Throughput>, <Turn>, <Wait>, <Ans>, <Swaps>, <No. of Process>
1158, 1148, 0.00863558, 503.000, 388.200, 388.200, 0.00777202, 10
1158, 1148, 0.00863558, 416.700, 301.900, 301.900, 0.00777202, 10
1158, 1148, 0.00863558, 416.700, 301.900, 301.900, 0.00777202, 10
1158, 1148, 0.00863558, 760.100, 645.300, 93.2000, 0.0535406, 10
1158, 1148, 0.00863558, 525.400, 410.600, 410.600, 0.00777202, 10
1158, 1148, 0.00863558, 505.400, 390.600, 366.000, 0.00863558, 10
