# <Processing>, <CPU>, <Throughput>, <Turn>, <Wait>, <Ans>, <Swaps>, <No. of Process>
49, 49, 0.204082, 14.2000, 9.30000, 9.30000, 0.183673, 10
49, 49, 0.204082, 12.1000, 7.20000, 7.20000, 0.183673, 10
49, 49, 0.204082, 10.3000, 5.40000, 3.90000, 0.265306, 10
49, 49, 0.204082, 14.2000, 9.30000, 9.30000, 0.183673, 10
49, 49, 0.204082, 13.0000, 8.10000, 8.10000, 0.183673, 10
49, 49, 0.204082, 11.4000, 6.50000, 3.50000, 0.265306, 10
