# <Processing>, <CPU>, <Throughput>, <Turn>, <Wait>, <Ans>, <Swaps>, <No. of Process>
609, 606, 0.0164204, 204.900, 144.300, 144.300, 0.0147783, 10
609, 606, 0.0164204, 188.200, 127.600, 127.600, 0.0147783, 10
609, 606, 0.0164204, 123.900, 63.3000, 6.00000, 0.0197044, 10
609, 606, 0.0164204, 230.200, 169.600, 40.5000, 0.0574713, 10
609, 606, 0.0164204, 207.400, 146.800, 146.800, 0.0147783, 10
609, 606, 0.0164204, 193.900, 133.300, 132.300, 0.0213465, 10
