╔════════════════════╦════════════════════╗
║ RR                 ║ STATISTICS         ║
╚════════════════════╩════════════════════╝
 Processing Time  492      cycles
       CPU usage  482      cycles
      Throughput  0.01016  processes/cycle
      Turnaround  262.2    cycles
    Waiting time  165.8    cycles
     Answer time  38.00    cycles
   Context swaps  0.05285  swaps/cycle
      #Processes  5        processes

